,Areaname,STCOU,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,popini,popfin,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,FIPScounty,Percapdmg,Exposure,Recovery,NDamage,NExposure,NRecovery,Adaptability,adaptier,adaptiernum,Vulnerability,vultier,vultiernum,index
74,"Lake and Peninsula, AK",2164,1823,1715,1621,1626,1644,1639,1624,1629,1606,1612,1626,1540,1551,1454,1490.0,1474.0,1411.0,1301.0,1375.0,1393.0,1156.0,986.0,02164,71.10175000000001,8.308727863458326,-0.05289052890528905,-0.11220345716747594,-0.6212891027862624,-2.6867394747517417,-2.5745360175842658,Low,1,0.5090856456187864,Extremely High,4,1
75,"Matanuska-Susitna, AK",2170,59322,61807,64353,67162,70761,74409,78633,81402,84079,86885,84147,86817,89319,91519,93843.0,96178.0,98679.0,101135.0,103464.0,105369.0,107360.0,106807.0,02170,16.96075,209.9154449672529,0.031730186459410316,-0.13285218391828868,-0.27186446218610283,1.302073747496835,1.4349259314151235,Extremely High,4,0.13901227826781415,Medium,2,15
76,"Nome, AK",2180,9196,9167,9161,9210,9351,9338,9235,9246,9231,9313,9315,9443,9580,9695,9792.0,9854.0,9879.0,9869.0,9925.0,9988.0,10009.0,10070.0,02180,2841.27291,82.28099863878595,0.01374127750939345,0.9443065322272893,-0.49308040765266137,0.45412064801752816,-0.49018588420976117,Low,1,1.4373869398799508,Extremely High,4,1
77,"North Slope, AK",2185,7385,7530,7728,7968,8046,8190,8315,8519,8841,9105,8852,9088,9317,9484,9618.0,9667.0,9681.0,9757.0,9797.0,9792.0,9375.0,10865.0,02185,0.25395,3.2322216211527754,0.02666064166290104,-0.13922395666132037,-0.6300877003464261,1.0631078249334656,1.2023317815947858,Extremely High,4,0.49086374368510577,Extremely High,4,13
78,"Northwest Arctic, AK",2188,7208,7251,7252,7310,7397,7416,7467,7440,7466,7467,7477,7532,7601,7624,7672.0,7732.0,7723.0,7715.0,7734.0,7715.0,7709.0,7776.0,02188,24.135209999999997,29.813136793697165,0.007355891400294236,-0.13011593109464975,-0.5840176741864951,0.15312918946785803,0.2832451205625078,High,3,0.45390174309184533,Extremely High,4,9
79,"Petersburg, AK",2195,0,4198,4112,4022,4059,3959,3886,3898,3817,3775,3841,3831,3822,3806,3212.0,3221.0,3196.0,3275.0,3255.0,3257.0,3278.0,3368.0,02195,74.91897,2.769575954486109,-0.0026034886748242643,-0.11074761533360257,-0.6308895575371118,-0.3163315892294107,-0.20558397389580813,Medium,2,0.5201419422035093,Extremely High,4,5
80,"Sitka, AK",2220,8835,8727,8874,8881,8890,8994,9046,8851,8835,8844,8894,8879,8909,8945,8957.0,8943.0,8921.0,8810.0,8738.0,8640.0,8569.0,8518.0,02220,81.06608,2.769575954486109,-0.0016865302451090623,-0.10840318145360058,-0.6308895575371118,-0.27310841517638096,-0.1647052337227804,Medium,2,0.5224863760835112,Extremely High,4,5
81,"Valdez-Cordova, AK",2261,10195,10114,10061,9996,9990,9914,9828,9572,9458,9492,9606,9596,9614,9682,9685.0,9617.0,9522.0,9439.0,9301.0,9243.0,,,02261,79.76848000000001,187.55540959132597,-0.0010410160316468874,-0.10889807049945961,-0.31061886202595357,-0.24268045650561984,-0.13378238600616021,Medium,2,0.20172079152649397,High,3,6
82,"Wade Hampton, AK",2270,7028,7051,7103,7201,7330,7313,7292,7372,7392,7469,7398,7473,7556,7678,7778.0,,,,,,,,02270,1.52087,70.747065806666,0.01013787510137875,-0.13874076859875892,-0.5130710130871766,0.28426508595775135,0.4230058545565103,Extremely High,4,0.3743302444884177,High,3,14
83,"Wrangell, AK",2275,0,2426,2382,2347,2288,2298,2309,2322,2353,2331,2338,2353,2368,2371,2383.0,2387.0,2401.0,2475.0,2484.0,2502.0,2510.0,2162.0,02275,4.89413,52.699184678422114,0.00641573994867408,-0.13745424777351653,-0.5443515897833602,0.10881275317945638,0.2462670009529729,High,3,0.4068973420098436,Extremely High,4,9
84,"Yukon-Koyukuk, AK",2290,6551,6364,6334,6252,6218,6000,5762,5712,5585,5495,5635,5613,5637,5656,5651.0,5644.0,5600.0,5453.0,5415.0,5377.0,5305.0,5433.0,02290,244.30931,210.90476749854642,-0.003904170363797693,-0.0461441753364236,-0.27014976897101073,-0.3776425376957969,-0.3314983623593733,Low,1,0.22400559363458714,High,3,2
85,"Apache, AZ",4001,69423,67863,67319,68072,68161,68521,69390,69602,69883,71008,70312,70906,71618,71978,72142.0,72124.0,72346.0,71602.0,71522.0,71511.0,71714.0,66473.0,04001,470.2012,1416.5941471981157,0.008448060075093867,0.040008276813234704,1.8195503374002056,0.20461134525194663,0.16460306843871192,High,3,-1.779542060586971,Low,1,12
86,"Cochise, AZ",4003,117755,118798,119847,120638,123234,125786,127241,128206,129023,130081,129268,130464,131118,131038,130807.0,129647.0,128177.0,126516.0,126279.0,125867.0,126442.0,125092.0,04003,107.48437,1475.6494677575572,0.00925209641984095,-0.09832756313414343,1.9219049834082857,0.24251164885105192,0.34083921198519535,Extremely High,4,-2.020232546542429,Low,1,16
87,"Coconino, AZ",4005,116320,118283,121308,122882,125117,127025,128695,130442,131853,133477,131824,132978,134011,134795,135817.0,136701.0,138064.0,138639.0,140217.0,141274.0,142254.0,144942.0,04005,183.34467,1162.2979489216518,0.0087540963709188,-0.06939535637891762,1.3788043197811934,0.2190371465231057,0.2884325029020233,High,3,-1.448199676160111,Low,1,12
88,"Gila, AZ",4007,51335,51274,51478,51337,51423,51655,52541,53252,53437,53561,53272,53380,53436,53335,53242.0,53165.0,53179.0,53145.0,53400.0,53546.0,53846.0,53211.0,04007,10.91323,208.01891454517886,0.0020273314311458177,-0.1351586353691314,-0.2751515275708306,-0.09804607380993653,0.03711256155919486,High,3,0.13999289220169922,Medium,2,11
89,"Graham, AZ",4009,33489,33356,33224,32985,32703,32964,33701,35175,36639,37525,36030,36720,37115,37168,37311.0,37407.0,37529.0,37700.0,37879.0,37996.0,38304.0,38145.0,04009,103.19844,440.7941904573064,0.019150707743547043,-0.09996216532921022,0.12829444037438736,0.7091079374753088,0.809070102804519,Extremely High,4,-0.22825660570359757,Low,1,16
90,"Greenlee, AZ",4011,8547,8349,7831,7567,7549,7595,7838,8205,8561,8635,8318,8472,8592,8679,8800.0,9023.0,9224.0,9368.0,9504.0,9522.0,9465.0,9542.0,04011,35.182,432.494541299845,0.018514065881221446,-0.12590281814543175,0.11390949345587631,0.679098199702037,0.8050010178474687,Extremely High,4,-0.23981231160130806,Low,1,16
91,"La Paz, AZ",4012,19715,19580,19464,19722,19979,20379,20573,20647,20555,20514,20549,20521,20460,20408,20348.0,20335.0,20304.0,20477.0,20701.0,20793.0,21035.0,16845.0,04012,319.5441,123.43304767207934,-0.001362596720035038,-0.01745053057801907,-0.42175570106555116,-0.2578389823622514,-0.24038845178423232,Low,1,0.4043051704875321,High,3,2
92,"Maricopa, AZ",4013,3072149,3175989,3255388,3328468,3417860,3538988,3642884,3711954,3771061,3803779,3751410,3798374,3841819,3889161,3947382.0,4018143.0,4088549.0,4155501.0,4253913.0,4328810.0,4412779.0,4367186.0,04013,886.34047,598.4387455340169,0.012519026179489846,0.19871879336284942,0.401523888239916,0.39650671454250797,0.19778792117965854,High,3,-0.2028050948770666,Low,1,12
93,"Mohave, AZ",4015,155032,160312,166155,172633,180521,188773,196168,199760,200078,199696,199177,200690,201216,201680,202482.0,203362.0,203629.0,204691.0,206064.0,207695.0,210998.0,211274.0,04015,33.9564,542.5189741232201,0.007596258604156103,-0.12637024725656373,0.30460377412684825,0.1644595106170822,0.29082975787364596,High,3,-0.430974021383412,Low,1,12
94,"Navajo, AZ",4017,97470,97849,100123,101529,102774,104184,105624,106927,107626,107571,107060,107418,107415,107326,107489.0,107656.0,108209.0,107902.0,108705.0,109270.0,110271.0,106609.0,04017,317.0372,1414.920183417273,0.0033439192975901364,-0.018406632110898276,1.8166490243839457,-0.03598534710381458,-0.017578714992916307,Medium,2,-1.835055656494844,Low,1,8
95,"Pima, AZ",4019,843746,859280,874267,885893,901342,920298,940930,955869,967778,975580,964462,974181,981048,986891,993144.0,998537.0,1003338.0,1007257.0,1019722.0,1027207.0,1038476.0,1035063.0,04019,18.83745,1196.8402890703496,0.0100771207160054,-0.13213643309186784,1.4386730829123997,0.28140127306462726,0.4135377061564951,Extremely High,4,-1.5708095160042674,Low,1,16
96,"Pinal, AZ",4021,179727,187747,197082,207920,219472,235708,271328,306174,335311,349830,329297,351709,368374,379128,390160.0,389772.0,397604.0,405537.0,419721.0,432793.0,447559.0,420625.0,04021,14.58024,264.77730809424907,0.06806014023814368,-0.1337600818240824,-0.17677791407304413,3.0145787691306247,3.148338850954707,Extremely High,4,0.043017832248961746,Medium,2,15
97,"Santa Cruz, AZ",4023,38381,39288,40009,40625,41623,42961,44298,45338,46144,47011,46051,46727,47057,47122,47250.0,47073.0,46547.0,46358.0,46584.0,46480.0,46594.0,47463.0,04023,209.73157,1069.408732898881,0.014679377212221232,-0.059331709828225526,1.217808786543693,0.4983403698941396,0.5576720797223651,Extremely High,4,-1.2771404963719186,Low,1,16
98,"Yavapai, AZ",4025,167517,172636,177362,182090,187822,195424,204082,208773,211211,211172,209260,210838,211280,211968,213689.0,215996.0,218586.0,220972.0,224645.0,228067.0,232396.0,233789.0,04025,3.7173199999999995,177.36730848021065,0.007540858262448629,-0.1379030689649911,-0.3282768727325946,0.1618480742262709,0.299751143191262,High,3,0.1903738037676035,High,3,10
99,"Yuma, AZ",4027,160026,162873,165398,168003,172824,178816,183848,187357,191202,193714,190526,193995,196420,199026,201453.0,202987.0,203292.0,204281.0,207829.0,209468.0,211931.0,202944.0,04027,71.77417,203.0468290184558,0.018207488741694047,-0.111947004260404,-0.2837691432096687,0.6646469043836783,0.7765939086440824,Extremely High,4,0.17182213894926468,Medium,2,15
100,"Arkansas, AR",5001,20749,20593,20351,19981,19967,19954,19785,19434,19275,19134,19321,19146,19029,18957,18861.0,18731.0,18569.0,18352.0,18124.0,17914.0,17761.0,17273.0,05001,884.7273299999999,2116.486991001834,-0.009057502199679105,0.19810356115304892,3.032604192539514,-0.6205579760374276,-0.8186615371904765,Low,1,-2.834500631386465,Low,1,4
101,"Ashley, AR",5003,24209,23824,23745,23469,23156,22770,22501,22229,22148,21920,22126,21966,21811,21645,21437.0,21229.0,20989.0,20771.0,20537.0,20270.0,20000.0,19362.0,05003,171.36619,750.2202750901248,-0.0072313115791376665,-0.07396380469738377,0.664591543806077,-0.5344758239051995,-0.46051201920781576,Low,1,-0.7385553485034607,Low,1,4
102,"Baxter, AR",5005,38386,38331,38506,38772,39334,39992,40867,41491,41519,41561,41388,41527,41387,41281,41154.0,41040.0,40992.0,41093.0,41219.0,41427.0,41673.0,41476.0,05005,50.8403,559.6621908987979,0.003358461389774814,-0.11993093070186309,0.33431638711212336,-0.03529986850279584,0.08463106219906724,High,3,-0.4542473178139864,Low,1,12
103,"Benton, AR",5007,153406,159258,164926,171742,179010,186756,195569,203664,210807,216620,209911,216314,222028,227439,232611.0,238198.0,245231.0,251823.0,258980.0,265759.0,273510.0,278774.0,05007,9.04013,621.0808688660476,0.030503403823525208,-0.13587301319881587,0.4407672027553052,1.2442462193584374,1.3801192325572533,Extremely High,4,-0.5766402159541211,Low,1,16
104,"Boone, AR",5009,33948,34258,34448,34554,34900,35492,36056,36759,36974,36844,36710,36908,37032,37099,37169.0,37227.0,37301.0,37212.0,37288.0,37331.0,37525.0,37445.0,05009,188.40195,470.0815199904828,0.005393625715064015,-0.06746657056368795,0.1790552222733352,0.060632792136807445,0.12809936270049538,High,3,-0.24652179283702313,Low,1,12
105,"Bradley, AR",5011,12600,12427,12340,12263,12107,12012,11778,11737,11643,11538,11638,11580,11510,11418,11316.0,11206.0,11096.0,10994.0,10948.0,10874.0,10805.0,10597.0,05011,101.96177999999999,1163.4659445551865,-0.004983674170819729,-0.10043381259142665,1.380828689109425,-0.42852770263867634,-0.3280938900472497,Low,1,-1.4812625017008516,Low,1,4
106,"Calhoun, AR",5013,5744,5599,5655,5646,5591,5675,5693,5659,5528,5421,5529,5417,5373,5319,5266.0,5245.0,5210.0,5194.0,5202.0,5192.0,5160.0,4811.0,05013,305.81007,1402.3608396195355,-0.02025682763610056,-0.022688524568847925,1.7948811772817144,-1.148466741503835,-1.125778216934987,Low,1,-1.8175697018505623,Low,1,4
107,"Carroll, AR",5015,25357,25559,25796,26033,26052,26435,26615,26699,26822,27158,26971,27145,27321,27531,27626.0,27635.0,27690.0,27782.0,27887.0,27965.0,28062.0,28154.0,05015,17.01781,134.0610993225039,0.006451373697675281,-0.13283042192001748,-0.4033351683492846,0.1104924408134086,0.24332286273342607,High,3,0.27050474642926714,High,3,10
108,"Chicot, AR",5017,14117,13758,13382,13173,12879,12729,12516,12313,12050,11851,12102,11947,11759,11621,11489.0,11353.0,11189.0,11008.0,10826.0,10615.0,10433.0,10405.0,05017,597.02953,1485.5200739359113,-0.01280780036357627,0.08837907769300989,1.9390127120887812,-0.7973378441708517,-0.8857169218638616,Low,1,-1.8506336343957714,Low,1,4
109,"Clark, AR",5019,23546,23516,23334,23032,22904,22800,22924,23139,23272,23100,23083,23066,23050,22912,22800.0,22751.0,22684.0,22495.0,22385.0,22386.0,22341.0,21569.0,05019,115.07463,530.0526544175787,-0.00073647272884807,-0.09543272918745563,0.282997156324983,-0.2283250312682443,-0.13289230208078867,Medium,2,-0.3784298855124386,Low,1,8
110,"Clay, AR",5021,17609,17307,17083,16951,16827,16790,16679,16464,16209,16056,16297,16136,15981,15790,15577.0,15400.0,15202.0,15190.0,15061.0,14889.0,14710.0,14661.0,05021,287.12867,956.248692068933,-0.009879118856231208,-0.029813386021769618,1.0216798719651832,-0.6592869724675601,-0.6294735864457904,Low,1,-1.0514932579869527,Low,1,4
111,"Cleburne, AR",5023,24046,24204,24375,24711,25018,25274,25430,25545,25623,25870,25692,25788,25849,25856,25793.0,25711.0,25587.0,25361.0,25230.0,25100.0,25063.0,24848.0,05023,295.87745,672.2356219789609,0.0037365716954694066,-0.0264767064698039,0.5294285900257852,-0.017476674970066473,0.009000031499737427,Medium,2,-0.5559052964955892,Low,1,8
112,"Cleveland, AR",5025,8571,8637,8634,8694,8744,8859,8829,8896,8775,8649,8769,8738,8685,8648,8597.0,8510.0,8421.0,8332.0,8226.0,8128.0,8063.0,7632.0,05025,280.89419999999996,626.5241720228323,-0.003535180750370624,-0.032191137955907154,0.45020153250661993,-0.3602492712530947,-0.3280581332971875,Low,1,-0.4823926704625271,Low,1,4
113,"Columbia, AR",5027,25603,25424,25362,25106,25154,25025,25133,24847,24666,24622,24756,24607,24644,24512,24400.0,24327.0,24168.0,23992.0,23892.0,23776.0,23620.0,22947.0,05027,20.31554,281.4616094741051,-0.006018742931006625,-0.13157270732907977,-0.1478606929751008,-0.47731830832873734,-0.34574560099965757,Low,1,0.01628798564602102,Medium,2,3
114,"Conway, AR",5029,20336,20362,20366,20461,20519,20683,20753,20992,21025,21257,21059,21164,21203,21235,21175.0,21110.0,21060.0,20954.0,20906.0,20858.0,20895.0,20687.0,05029,544.1956,1050.9223825411095,0.0049859917374994065,0.06822885173224875,1.185768255243105,0.041417925037896264,-0.02681092669435249,Medium,2,-1.1175394035108563,Low,1,8
115,"Craighead, AR",5031,82148,83276,83978,85000,86331,87512,89725,91350,93316,95482,93329,95034,96709,98398,99835.0,101409.0,102884.0,104246.0,105701.0,107345.0,109081.0,109875.0,05031,5.08836,1035.2402890263972,0.018268705332747593,-0.13738017078571044,1.1585880602131187,0.667532504520276,0.8049126753059864,Extremely High,4,-1.2959682309988292,Low,1,16
116,"Crawford, AR",5033,53247,54273,55026,55836,56832,57779,59126,60210,60933,61595,60778,61336,61670,61796,61825.0,61748.0,61927.0,62119.0,62472.0,62739.0,63118.0,60483.0,05033,15.093620000000001,566.7063337588295,0.009180953634538814,-0.1335642848617187,0.34652529127247184,0.2391581522343224,0.37272243709604114,Extremely High,4,-0.48008957613419057,Low,1,16
117,"Crittenden, AR",5035,50866,50919,50622,50252,50266,50244,50360,50438,50699,50929,50673,50701,50618,50447,50172.0,49765.0,49511.0,49278.0,49013.0,48672.0,48381.0,48338.0,05035,200.27541,1003.0466049012186,0.0005525625086337892,-0.0629381756111251,1.102789986286623,-0.16756306799421472,-0.10462489238308963,Medium,2,-1.1657281618977482,Low,1,8
118,"Cross, AR",5037,19526,19382,19106,18896,18782,18883,18525,18172,18200,17971,18144,17992,17891,17760,17595.0,17467.0,17329.0,17164.0,16998.0,16824.0,16576.0,16935.0,05037,21.21752,994.7378770377603,-0.00837742504409171,-0.13122870299678638,1.0883893041603487,-0.5885008049456332,-0.4572721019488468,Low,1,-1.2196180071571352,Low,1,4
119,"Dallas, AR",5039,9210,9005,8826,8740,8740,8589,8477,8367,8282,8188,8280,8200,8122,8045,7954.0,7868.0,7738.0,7585.0,7432.0,7279.0,7114.0,6645.0,05039,338.97808,532.8242924255707,-0.00966183574879227,-0.01003864415736265,0.28780095765030167,-0.6490447790733259,-0.6390061349159633,Low,1,-0.29783960180766433,Low,1,4
120,"Desha, AR",5041,15341,14958,14583,14405,14270,13992,13870,13523,13273,13108,13351,13131,12922,12774,12602.0,12379.0,12234.0,12094.0,11887.0,11709.0,11538.0,11530.0,05041,415.11327,1783.0386308978211,-0.01647816642948094,0.01899840234032324,2.454671695736488,-0.9703499090189878,-0.989348311359311,Low,1,-2.4356732933961647,Low,1,4
121,"Drew, AR",5043,18723,18660,18410,18537,18595,18618,18705,18535,18481,18495,18546,18499,18615,18686,18705.0,18740.0,18688.0,18620.0,18502.0,18417.0,18263.0,17511.0,05043,70.0027,416.10771065830215,-0.0025342391890434595,-0.11262262162944524,0.0855078484623275,-0.31306733811399623,-0.20044471648455098,Medium,2,-0.19813047009177273,Low,1,8
122,"Faulkner, AR",5045,86014,88830,90624,93618,96162,99192,102969,105637,108477,110813,108375,111058,113730,115928,117804.0,119343.0,120417.0,121282.0,122416.0,123624.0,124800.0,123191.0,05045,632.39074,600.8424880556798,0.024756632064590542,0.10186541822732044,0.4056900533300155,0.9733574768266549,0.8714920585993344,Extremely High,4,-0.3038246351026951,Low,1,16
123,"Franklin, AR",5047,17771,17830,17856,17913,17955,18073,18151,18237,18229,18145,18176,18157,18110,18063,17960.0,17866.0,17799.0,17803.0,17780.0,17738.0,17785.0,17159.0,05047,236.57657,521.6705169377424,-0.0010453345070422534,-0.04909334944283242,0.26846924069583755,-0.24288401885654948,-0.19379066941371706,Medium,2,-0.31756259013866994,Low,1,8
124,"Fulton, AR",5049,11642,11676,11737,11831,12079,12127,12119,12354,12382,12231,12263,12301,12301,12266,12218.0,12224.0,12186.0,12092.0,12139.0,12231.0,12301.0,12072.0,05049,465.51901000000004,349.3937047003779,0.003098752344450787,0.038222545816293634,-0.030120826463433812,-0.047541916675768216,-0.08576446249206185,Medium,2,0.06834337227972745,Medium,2,7
125,"Garland, AR",5051,88068,89032,89630,90483,91084,92096,94077,94753,95636,95840,95290,95914,96249,96547,96804.0,96954.0,97119.0,97994.0,98296.0,98555.0,99043.0,99694.0,05051,438.20259,697.3085276109075,0.006548431105047749,0.027804391508274986,0.5728849349586483,0.11506748923005158,0.0872630977217766,High,3,-0.5450805434503734,Low,1,12
126,"Grant, AR",5053,16464,16608,16637,16731,17026,17244,17442,17483,17718,17751,17657,17767,17852,17922,18014.0,18054.0,18046.0,18076.0,18086.0,18126.0,18229.0,17912.0,05053,103.74999,539.8120271478641,0.006229823865888883,-0.09975181078756137,0.2999120952603128,0.1000491244858656,0.19980093527342696,High,3,-0.39966390604787416,Low,1,12
127,"Greene, AR",5055,37331,37934,38229,38604,39046,39599,40469,40918,41286,41723,41318,41764,42224,42580,42970.0,43382.0,43745.0,44197.0,44623.0,44937.0,45197.0,45665.0,05055,12.36281,1052.9671349191576,0.010794326927731255,-0.13460578297771927,1.1893122188326115,0.3152086169056878,0.4498143998834071,Extremely High,4,-1.3239180018103307,Low,1,16
128,"Hempstead, AR",5057,23587,23318,23199,23090,22971,22924,22957,22918,22624,22615,22747,22658,22548,22509,22419.0,22336.0,22208.0,22154.0,22018.0,21842.0,21695.0,20352.0,05057,52.59741,253.54426477721188,-0.00391260385984965,-0.11926079006424795,-0.19624701798132788,-0.37804007203968476,-0.2587792819754368,Low,1,0.07698622791707993,Medium,2,3
